section,area,block,question_id,question_text,type,option_a,option_b,option_c,option_d,option_e,correct_option,scale_mapping,scoring_mapping,weight_to_100,locale
Metadatos,Todas,Perfil,M1,País de residencia,Dropdown,Argentina; Bolivia; Chile; Colombia; Costa Rica; Cuba; Ecuador; El Salvador; España; Guinea Ecuatorial; Guatemala; Honduras; México; Nicaragua; Panamá; Paraguay; Perú; Puerto Rico; República Dominicana; Uruguay; Venezuela,,,,,,,,,MX/LATAM
Metadatos,Todas,Perfil,M2,Área profesional a la que perteneces (elige una),Dropdown,CEO/Alta Dirección; Tecnología/Desarrollo de Software; Marketing y Comunicación; Salud/Medicina; Derecho/Sector Legal; Finanzas/Contabilidad; Administración Pública/Gobierno; Academia/Investigación; Educación/Docentes; Diseño/Industrias Creativas,,,,,,,,,MX/LATAM
Metadatos,Todas,Perfil,M3,Tamaño de la organización,Multiple Choice (una respuesta),A) Micro (1–10),B) Pequeña (11–50),C) Mediana (51–250),D) Grande (251+),,,,,,MX/LATAM
Metadatos,Todas,Perfil,M4,Sector/Industria principal,Multiple Choice (una respuesta),A) Manufactura/Logística/Agro,B) Retail/Consumo,C) Servicios financieros/Fintech/Seguros,D) Salud/Educación/Gobierno,E) TIC/Software/Medios/Creativas/Otros,,,,,MX/LATAM
Metadatos,Todas,Perfil,M5,Año de inicio de iniciativas con Gen-AI (aprox.),Short Answer,,,,,,,,,,MX/LATAM
Metadatos,Todas,Perfil,M6,Rol específico dentro del área (texto libre),Short Answer,,,,,,,,,,MX/LATAM
Cuestionario,CEO/Alta Dirección,Adopción,A1,"¿Con qué frecuencia impulsa iniciativas de Gen-AI con presupuesto y OKRs explícitos (p. ej., automatización de back-office, copilots comerciales, analytics aumentada)?",Multiple Choice (escala Likert A–E),A) Nunca,B) Rara vez (≤ 1/mes),C) Ocasional (2–3/mes),D) Frecuente (semanal),E) Muy frecuente (diaria),,A=0; B=25; C=50; D=75; E=100,A=0; B=25; C=50; D=75; E=100,8.333333,MX/LATAM
Cuestionario,CEO/Alta Dirección,Adopción,A2,"¿Con qué frecuencia revisa y decide sobre el portafolio de casos de uso de Gen-AI (priorización por valor/viabilidad, stage-gate)?",Multiple Choice (escala Likert A–E),A) Nunca,B) Rara vez (≤ 1/mes),C) Ocasional (2–3/mes),D) Frecuente (semanal),E) Muy frecuente (diaria),,A=0; B=25; C=50; D=75; E=100,A=0; B=25; C=50; D=75; E=100,8.333333,MX/LATAM
Cuestionario,CEO/Alta Dirección,Adopción,A3,"¿Con qué frecuencia consulta métricas de valor (ahorros, ingresos, time-to-market, NPS interno) con línea base y responsables?",Multiple Choice (escala Likert A–E),A) Nunca,B) Rara vez (≤ 1/mes),C) Ocasional (2–3/mes),D) Frecuente (semanal),E) Muy frecuente (diaria),,A=0; B=25; C=50; D=75; E=100,A=0; B=25; C=50; D=75; E=100,8.333333,MX/LATAM
Cuestionario,CEO/Alta Dirección,Adopción,A4,"¿Con qué frecuencia participa en la gobernanza: políticas de uso, guardrails, comité de IA, evaluación de alto riesgo (salud, financiero, contratación, servicios públicos)?",Multiple Choice (escala Likert A–E),A) Nunca,B) Rara vez (≤ 1/mes),C) Ocasional (2–3/mes),D) Frecuente (semanal),E) Muy frecuente (diaria),,A=0; B=25; C=50; D=75; E=100,A=0; B=25; C=50; D=75; E=100,8.333333,MX/LATAM
Cuestionario,CEO/Alta Dirección,Adopción,A5,"¿Con qué frecuencia aprueba o supervisa controles de datos y cumplimiento locales (p. ej., INAI/AAIP/SIC) y transferencias transfronterizas?",Multiple Choice (escala Likert A–E),A) Nunca,B) Rara vez (≤ 1/mes),C) Ocasional (2–3/mes),D) Frecuente (semanal),E) Muy frecuente (diaria),,A=0; B=25; C=50; D=75; E=100,A=0; B=25; C=50; D=75; E=100,8.333333,MX/LATAM
Cuestionario,CEO/Alta Dirección,Adopción,A6,"¿Con qué frecuencia financia/monitorea programas de upskilling (prompt-engineering, seguridad, ética) para liderazgo y áreas de negocio?",Multiple Choice (escala Likert A–E),A) Nunca,B) Rara vez (≤ 1/mes),C) Ocasional (2–3/mes),D) Frecuente (semanal),E) Muy frecuente (diaria),,A=0; B=25; C=50; D=75; E=100,A=0; B=25; C=50; D=75; E=100,8.333333,MX/LATAM
Cuestionario,CEO/Alta Dirección,Conocimiento,C1,¿Cuál es un KPI estratégico adecuado para Gen-AI a nivel CEO?,Multiple Choice (una respuesta),A) “Número de prompts enviados”,B) Valor capturado contra línea base (ahorro/ingreso/tiempo),C) Likes en redes,D) Cantidad de proveedores,,B,,Correcta=100; Incorrecta=0,8.333333,MX/LATAM
Cuestionario,CEO/Alta Dirección,Conocimiento,C2,¿Qué práctica valida mejor el ROI en LATAM con presupuestos acotados?,Multiple Choice (una respuesta),A) Comprar primero licencias masivas,B) Pilotos con control A/B y línea base operacional,C) Esperar a que la competencia publique su ROI,D) Usar solo encuestas de percepción,,B,,Correcta=100; Incorrecta=0,8.333333,MX/LATAM
Cuestionario,CEO/Alta Dirección,Conocimiento,C3,"Para casos de alto riesgo (crédito, salud, empleo), ¿qué es indispensable?",Multiple Choice (una respuesta),A) Delegar todo a IA,"B) Supervisión humana, documentación del caso y evaluación de impacto/explicabilidad",C) Ocultar el uso de IA,D) Solo NDAs con proveedores,,B,,Correcta=100; Incorrecta=0,8.333333,MX/LATAM
Cuestionario,CEO/Alta Dirección,Conocimiento,C4,"En México y región, ¿qué principio debe regir el uso de datos en Gen-AI?",Multiple Choice (una respuesta),A) Subir PII a cualquier servicio,"B) Minimización, bases legales claras y salvaguardas en transferencias",C) Recolección indiscriminada,D) Reutilizar expedientes sin informar,,B,,Correcta=100; Incorrecta=0,8.333333,MX/LATAM
Cuestionario,CEO/Alta Dirección,Conocimiento,C5,¿Qué enfoque maduro de entrenamiento ejecutivo adopta mejores prácticas?,Multiple Choice (una respuesta),A) Taller único,"B) Ruta continua: fundamentos + prompt-ops + riesgos + métricas, con casos locales del sector",C) Solo comprar cursos genéricos,D) Aprendizaje informal,,B,,Correcta=100; Incorrecta=0,8.333333,MX/LATAM
Cuestionario,CEO/Alta Dirección,Conocimiento,C6,Cláusula crítica al contratar Gen-AI en LATAM,Multiple Choice (una respuesta),A) Look & feel,"B) Propiedad/uso de outputs, seguridad, ubicación/transferencia de datos y SLAs de calidad/soporte",C) Color del dashboard,D) Pago en especie,,B,,Correcta=100; Incorrecta=0,8.333333,MX/LATAM
Cuestionario,Tecnología/Desarrollo de Software,Adopción,A1,¿Con qué frecuencia utiliza asistentes de código para generar/explicar funciones?,Multiple Choice (escala Likert A–E),A) Nunca,B) Rara vez (≤ 1/mes),C) Ocasional (2–3/mes),D) Frecuente (semanal),E) Muy frecuente (diaria),,A=0; B=25; C=50; D=75; E=100,A=0; B=25; C=50; D=75; E=100,8.333333,MX/LATAM
Cuestionario,Tecnología/Desarrollo de Software,Adopción,A2,"¿Con qué frecuencia usa Gen-AI para documentación técnica, refactoring y/o generación de pruebas (unitarias/integración)?",Multiple Choice (escala Likert A–E),A) Nunca,B) Rara vez (≤ 1/mes),C) Ocasional (2–3/mes),D) Frecuente (semanal),E) Muy frecuente (diaria),,A=0; B=25; C=50; D=75; E=100,A=0; B=25; C=50; D=75; E=100,8.333333,MX/LATAM
Cuestionario,Tecnología/Desarrollo de Software,Adopción,A3,"¿Con qué frecuencia emplea Gen-AI en code reviews/PRs (resúmenes, linting guiado, explicación de cambios, commit messages)?",Multiple Choice (escala Likert A–E),A) Nunca,B) Rara vez (≤ 1/mes),C) Ocasional (2–3/mes),D) Frecuente (semanal),E) Muy frecuente (diaria),,A=0; B=25; C=50; D=75; E=100,A=0; B=25; C=50; D=75; E=100,8.333333,MX/LATAM
Cuestionario,Tecnología/Desarrollo de Software,Adopción,A4,"¿Con qué frecuencia integra capacidades LLM en productos o herramientas internas (RAG, embeddings, chatops, agentes, búsqueda semántica)?",Multiple Choice (escala Likert A–E),A) Nunca,B) Rara vez (≤ 1/mes),C) Ocasional (2–3/mes),D) Frecuente (semanal),E) Muy frecuente (diaria),,A=0; B=25; C=50; D=75; E=100,A=0; B=25; C=50; D=75; E=100,8.333333,MX/LATAM
Cuestionario,Tecnología/Desarrollo de Software,Adopción,A5,"¿Con qué frecuencia aplica guardrails y controles de seguridad/privacidad (redacción de secretos, PII, rate-limits, content filters, aislamiento de entornos)?",Multiple Choice (escala Likert A–E),A) Nunca,B) Rara vez (≤ 1/mes),C) Ocasional (2–3/mes),D) Frecuente (semanal),E) Muy frecuente (diaria),,A=0; B=25; C=50; D=75; E=100,A=0; B=25; C=50; D=75; E=100,8.333333,MX/LATAM
Cuestionario,Tecnología/Desarrollo de Software,Adopción,A6,"¿Con qué frecuencia mide valor y calidad de Gen-AI (A/B interno, aceptación, defectos/MTTR, productividad de PRs)?",Multiple Choice (escala Likert A–E),A) Nunca,B) Rara vez (≤ 1/mes),C) Ocasional (2–3/mes),D) Frecuente (semanal),E) Muy frecuente (diaria),,A=0; B=25; C=50; D=75; E=100,A=0; B=25; C=50; D=75; E=100,8.333333,MX/LATAM
Cuestionario,Tecnología/Desarrollo de Software,Conocimiento,C1,¿Qué es la ventana de contexto en un LLM?,Multiple Choice (una respuesta),A) Núcleos de CPU,B) Memoria a largo plazo del usuario,C) Cantidad de tokens que el modelo puede procesar por turno,D) Caché de disco,,C,,Correcta=100; Incorrecta=0,8.333333,MX/LATAM
Cuestionario,Tecnología/Desarrollo de Software,Conocimiento,C2,¿Qué controla principalmente la temperatura en un LLM?,Multiple Choice (una respuesta),A) Latencia,B) Aleatoriedad/diversidad de las salidas,C) Límite de tokens,D) Uso de GPU,,B,,Correcta=100; Incorrecta=0,8.333333,MX/LATAM
Cuestionario,Tecnología/Desarrollo de Software,Conocimiento,C3,Buena práctica para reducir “alucinaciones” en código sugerido por Gen-AI,Multiple Choice (una respuesta),A) Aceptar todo y mergear,B) Revisión humana + pruebas automatizadas + linters y static analysis,C) Aumentar la temperatura,D) Cambiar de IDE,,B,,Correcta=100; Incorrecta=0,8.333333,MX/LATAM
Cuestionario,Tecnología/Desarrollo de Software,Conocimiento,C4,"En integración LLM+RAG con fuentes externas, práctica más segura",Multiple Choice (una respuesta),A) Ejecutar comandos del modelo sin validación,"B) Tratar al modelo como no confiable, sanitizar entradas/salidas, bloquear funciones peligrosas y validar orígenes",C) Dar acceso root al conector,D) Desactivar logging,,B,,Correcta=100; Incorrecta=0,8.333333,MX/LATAM
Cuestionario,Tecnología/Desarrollo de Software,Conocimiento,C5,Métrica que mide mejor el impacto del asistente de código,Multiple Choice (una respuesta),A) Nº de prompts,"B) A/B: aceptación útil, defectos, retrabajo, lead time y MTTR vs. baseline",C) Colores del editor,D) Nº de ramas,,B,,Correcta=100; Incorrecta=0,8.333333,MX/LATAM
Cuestionario,Tecnología/Desarrollo de Software,Conocimiento,C6,Uso de repos internos con Gen-AI en LATAM – práctica adecuada,Multiple Choice (una respuesta),A) Subir PII/secrets a servicios públicos,"B) Minimizar/anonimizar datos, escanear secretos y usar entornos privados o on-prem cuando aplique",C) Compartir código de clientes sin permiso,D) Deshabilitar controles de acceso,,B,,Correcta=100; Incorrecta=0,8.333333,MX/LATAM
Cuestionario,Marketing y Comunicación,Adopción,A1,"¿Con qué frecuencia usa Gen-AI para ideación y copy (posts, emails, ads, guiones) con guías de tono de marca?",Multiple Choice (escala Likert A–E),A) Nunca,B) Rara vez (≤ 1/mes),C) Ocasional (2–3/mes),D) Frecuente (semanal),E) Muy frecuente (diaria),,A=0; B=25; C=50; D=75; E=100,A=0; B=25; C=50; D=75; E=100,8.333333,MX/LATAM
Cuestionario,Marketing y Comunicación,Adopción,A2,¿Con qué frecuencia genera activos creativos (imágenes/video/carruseles) o variaciones para A/B con Gen-AI?,Multiple Choice (escala Likert A–E),A) Nunca,B) Rara vez (≤ 1/mes),C) Ocasional (2–3/mes),D) Frecuente (semanal),E) Muy frecuente (diaria),,A=0; B=25; C=50; D=75; E=100,A=0; B=25; C=50; D=75; E=100,8.333333,MX/LATAM
Cuestionario,Marketing y Comunicación,Adopción,A3,"¿Con qué frecuencia aplica Gen-AI para localización/transcreación al español regional (MX, AR, CO, CL, etc.)?",Multiple Choice (escala Likert A–E),A) Nunca,B) Rara vez (≤ 1/mes),C) Ocasional (2–3/mes),D) Frecuente (semanal),E) Muy frecuente (diaria),,A=0; B=25; C=50; D=75; E=100,A=0; B=25; C=50; D=75; E=100,8.333333,MX/LATAM
Cuestionario,Marketing y Comunicación,Adopción,A4,"¿Con qué frecuencia usa Gen-AI para social listening/insights (resúmenes de sentimiento, temas emergentes)?",Multiple Choice (escala Likert A–E),A) Nunca,B) Rara vez (≤ 1/mes),C) Ocasional (2–3/mes),D) Frecuente (semanal),E) Muy frecuente (diaria),,A=0; B=25; C=50; D=75; E=100,A=0; B=25; C=50; D=75; E=100,8.333333,MX/LATAM
Cuestionario,Marketing y Comunicación,Adopción,A5,"¿Con qué frecuencia emplea Gen-AI para personalización (segmentos, mensajes dinámicos) con datos minimizados?",Multiple Choice (escala Likert A–E),A) Nunca,B) Rara vez (≤ 1/mes),C) Ocasional (2–3/mes),D) Frecuente (semanal),E) Muy frecuente (diaria),,A=0; B=25; C=50; D=75; E=100,A=0; B=25; C=50; D=75; E=100,8.333333,MX/LATAM
Cuestionario,Marketing y Comunicación,Adopción,A6,"¿Con qué frecuencia integra Gen-AI en medición de performance (resúmenes de campañas, hipótesis, lift y CAC/LTV)?",Multiple Choice (escala Likert A–E),A) Nunca,B) Rara vez (≤ 1/mes),C) Ocasional (2–3/mes),D) Frecuente (semanal),E) Muy frecuente (diaria),,A=0; B=25; C=50; D=75; E=100,A=0; B=25; C=50; D=75; E=100,8.333333,MX/LATAM
Cuestionario,Marketing y Comunicación,Conocimiento,C1,Práctica que mejora la coherencia del tono de marca,Multiple Choice (una respuesta),A) Prompt genérico,"B) Prompt con guía de marca (do/don’t), ejemplos y style sheet",C) Aumentar temperatura,D) Traducir literal,,B,,Correcta=100; Incorrecta=0,8.333333,MX/LATAM
Cuestionario,Marketing y Comunicación,Conocimiento,C2,"Para creatividades generadas por IA, aspecto crítico",Multiple Choice (una respuesta),A) Todo es libre por defecto,B) Revisar términos de uso/licencias y derechos sobre outputs para uso comercial,C) Solo cambiar colores,D) No registrar evidencia,,B,,Correcta=100; Incorrecta=0,8.333333,MX/LATAM
Cuestionario,Marketing y Comunicación,Conocimiento,C3,Personalización con Gen-AI en LATAM – enfoque adecuado,Multiple Choice (una respuesta),A) Subir PII sin aviso,"B) Minimización, base legal/consentimiento y controles de transferencia internacional",C) Usar listas compradas sin revisión,D) Reutilizar CRM sin opción de baja,,B,,Correcta=100; Incorrecta=0,8.333333,MX/LATAM
Cuestionario,Marketing y Comunicación,Conocimiento,C4,Qué evalúa mejor el impacto en performance,Multiple Choice (una respuesta),A) Nº de prompts,"B) Experimentos A/B y uplift vs. baseline (CTR, CVR, CAC, LTV)",C) Likes,D) Tamaño del budget,,B,,Correcta=100; Incorrecta=0,8.333333,MX/LATAM
Cuestionario,Marketing y Comunicación,Conocimiento,C5,Cómo reducir alucinaciones y riesgos reputacionales,Multiple Choice (una respuesta),A) Publicar sin revisar,"B) Human-in-the-loop, fact-checking, listas de exclusión y QA de claims",C) Bajar costo de media,D) Más emojis,,B,,Correcta=100; Incorrecta=0,8.333333,MX/LATAM
Cuestionario,Marketing y Comunicación,Conocimiento,C6,Uso de IA en piezas públicas – recomendable,Multiple Choice (una respuesta),A) Ocultarlo,B) Señalización/etiquetado cuando aplique y evitar deepfakes engañosos sin consentimiento,C) Firmar como humano,D) Usar testimonios inventados,,B,,Correcta=100; Incorrecta=0,8.333333,MX/LATAM
Cuestionario,Salud/Medicina,Adopción,A1,¿Con qué frecuencia usa Gen-AI para resumir evidencia clínica/guías y preparar briefs médicos?,Multiple Choice (escala Likert A–E),A) Nunca,B) Rara vez (≤ 1/mes),C) Ocasional (2–3/mes),D) Frecuente (semanal),E) Muy frecuente (diaria),,A=0; B=25; C=50; D=75; E=100,A=0; B=25; C=50; D=75; E=100,8.333333,MX/LATAM
Cuestionario,Salud/Medicina,Adopción,A2,¿Con qué frecuencia usa Gen-AI para redactar/estructurar notas clínicas o informes (con revisión humana)?,Multiple Choice (escala Likert A–E),A) Nunca,B) Rara vez (≤ 1/mes),C) Ocasional (2–3/mes),D) Frecuente (semanal),E) Muy frecuente (diaria),,A=0; B=25; C=50; D=75; E=100,A=0; B=25; C=50; D=75; E=100,8.333333,MX/LATAM
Cuestionario,Salud/Medicina,Adopción,A3,"¿Con qué frecuencia genera materiales de educación al paciente (folletos, FAQ, indicaciones de alta) con Gen-AI?",Multiple Choice (escala Likert A–E),A) Nunca,B) Rara vez (≤ 1/mes),C) Ocasional (2–3/mes),D) Frecuente (semanal),E) Muy frecuente (diaria),,A=0; B=25; C=50; D=75; E=100,A=0; B=25; C=50; D=75; E=100,8.333333,MX/LATAM
Cuestionario,Salud/Medicina,Adopción,A4,"¿Con qué frecuencia utiliza Gen-AI en administración clínica (codificación diagnóstica/procedimientos, pre-facturación, autorizaciones) con validación humana?",Multiple Choice (escala Likert A–E),A) Nunca,B) Rara vez (≤ 1/mes),C) Ocasional (2–3/mes),D) Frecuente (semanal),E) Muy frecuente (diaria),,A=0; B=25; C=50; D=75; E=100,A=0; B=25; C=50; D=75; E=100,8.333333,MX/LATAM
Cuestionario,Salud/Medicina,Adopción,A5,"¿Con qué frecuencia emplea Gen-AI como apoyo no diagnóstico (triage informativo, resúmenes de expediente, recordatorios), evitando decisiones clínicas automatizadas?",Multiple Choice (escala Likert A–E),A) Nunca,B) Rara vez (≤ 1/mes),C) Ocasional (2–3/mes),D) Frecuente (semanal),E) Muy frecuente (diaria),,A=0; B=25; C=50; D=75; E=100,A=0; B=25; C=50; D=75; E=100,8.333333,MX/LATAM
Cuestionario,Salud/Medicina,Adopción,A6,"¿Con qué frecuencia aplica controles de privacidad/seguridad (anonimización/pseudonimización, no subir PHI a servicios públicos, entornos aprobados)?",Multiple Choice (escala Likert A–E),A) Nunca,B) Rara vez (≤ 1/mes),C) Ocasional (2–3/mes),D) Frecuente (semanal),E) Muy frecuente (diaria),,A=0; B=25; C=50; D=75; E=100,A=0; B=25; C=50; D=75; E=100,8.333333,MX/LATAM
Cuestionario,Salud/Medicina,Conocimiento,C1,"Para casos de alto riesgo (diagnóstico/prescripción) en LATAM, lo correcto es…",Multiple Choice (una respuesta),A) Delegar en la IA,"B) Exigir supervisión humana, validación clínica y no usar Gen-AI diagnóstica sin aprobación/validación",C) Usar cualquier app pública,D) Omitir documentación,,B,,Correcta=100; Incorrecta=0,8.333333,MX/LATAM
Cuestionario,Salud/Medicina,Conocimiento,C2,Práctica adecuada con datos de salud (PHI),Multiple Choice (una respuesta),A) Subir PHI a servicios públicos,B) Minimizar y anonimizar; usar entornos aprobados y acuerdos de tratamiento de datos,C) Compartir por mensajería personal,D) Guardar logs con PII sin control,,B,,Correcta=100; Incorrecta=0,8.333333,MX/LATAM
Cuestionario,Salud/Medicina,Conocimiento,C3,Para evitar recomendaciones desactualizadas,Multiple Choice (una respuesta),A) Confiar en el output,B) Verificar contra guías vigentes y fuentes primarias con fecha/citas,C) Subir más prompts,D) Traducir y publicar,,B,,Correcta=100; Incorrecta=0,8.333333,MX/LATAM
Cuestionario,Salud/Medicina,Conocimiento,C4,Riesgo típico en resúmenes científicos generados,Multiple Choice (una respuesta),A) Referencias fabricadas o mal citadas; requiere verificación bibliográfica,B) Falta de Wi-Fi,C) Tipografía,D) Formato de archivo,,A,,Correcta=100; Incorrecta=0,8.333333,MX/LATAM
Cuestionario,Salud/Medicina,Conocimiento,C5,Medida de gobernanza clínica recomendada,Multiple Choice (una respuesta),A) No registrar nada,"B) Comité de IA/ética, registro de prompts/outputs, auditorías y criterios de liberación",C) Dejarlo a marketing,D) Solo cambiar contraseña,,B,,Correcta=100; Incorrecta=0,8.333333,MX/LATAM
Cuestionario,Salud/Medicina,Conocimiento,C6,"Para poblaciones locales, ¿qué asegura validez?",Multiple Choice (una respuesta),A) Extrapolar de cualquier estudio,B) Evaluar desempeño en población/idioma local y documentar límites,C) Aumentar temperatura,D) Publicar sin revisión,,B,,Correcta=100; Incorrecta=0,8.333333,MX/LATAM
Cuestionario,Derecho/Sector Legal,Adopción,A1,"¿Con qué frecuencia usa Gen-AI para borradores (contratos, demandas/contestaciones, briefs) con revisión humana?",Multiple Choice (escala Likert A–E),A) Nunca,B) Rara vez (≤ 1/mes),C) Ocasional (2–3/mes),D) Frecuente (semanal),E) Muy frecuente (diaria),,A=0; B=25; C=50; D=75; E=100,A=0; B=25; C=50; D=75; E=100,8.333333,MX/LATAM
Cuestionario,Derecho/Sector Legal,Adopción,A2,¿Con qué frecuencia usa Gen-AI para síntesis de jurisprudencia/doctrina y extracción de criterios relevantes?,Multiple Choice (escala Likert A–E),A) Nunca,B) Rara vez (≤ 1/mes),C) Ocasional (2–3/mes),D) Frecuente (semanal),E) Muy frecuente (diaria),,A=0; B=25; C=50; D=75; E=100,A=0; B=25; C=50; D=75; E=100,8.333333,MX/LATAM
Cuestionario,Derecho/Sector Legal,Adopción,A3,"¿Con qué frecuencia emplea Gen-AI para comunicaciones con clientes/áreas internas (memos, Q&A, minutas)?",Multiple Choice (escala Likert A–E),A) Nunca,B) Rara vez (≤ 1/mes),C) Ocasional (2–3/mes),D) Frecuente (semanal),E) Muy frecuente (diaria),,A=0; B=25; C=50; D=75; E=100,A=0; B=25; C=50; D=75; E=100,8.333333,MX/LATAM
Cuestionario,Derecho/Sector Legal,Adopción,A4,"¿Con qué frecuencia usa Gen-AI en revisión documental/e-discovery (resúmenes, clasificación temática, red flags)?",Multiple Choice (escala Likert A–E),A) Nunca,B) Rara vez (≤ 1/mes),C) Ocasional (2–3/mes),D) Frecuente (semanal),E) Muy frecuente (diaria),,A=0; B=25; C=50; D=75; E=100,A=0; B=25; C=50; D=75; E=100,8.333333,MX/LATAM
Cuestionario,Derecho/Sector Legal,Adopción,A5,"¿Con qué frecuencia integra Gen-AI en gestión de conocimiento (cláusulas estándar, playbooks, búsqueda semántica/RAG en repos internos)?",Multiple Choice (escala Likert A–E),A) Nunca,B) Rara vez (≤ 1/mes),C) Ocasional (2–3/mes),D) Frecuente (semanal),E) Muy frecuente (diaria),,A=0; B=25; C=50; D=75; E=100,A=0; B=25; C=50; D=75; E=100,8.333333,MX/LATAM
Cuestionario,Derecho/Sector Legal,Adopción,A6,"¿Con qué frecuencia aplica controles de confidencialidad/privilegio (entornos aprobados, acuerdos de tratamiento de datos, verificación de citas y audit trail)?",Multiple Choice (escala Likert A–E),A) Nunca,B) Rara vez (≤ 1/mes),C) Ocasional (2–3/mes),D) Frecuente (semanal),E) Muy frecuente (diaria),,A=0; B=25; C=50; D=75; E=100,A=0; B=25; C=50; D=75; E=100,8.333333,MX/LATAM
Cuestionario,Derecho/Sector Legal,Conocimiento,C1,Riesgo típico al usar Gen-AI en escritos jurídicos,Multiple Choice (una respuesta),A) Citas o precedentes inventados/incorrectos que requieren verificación manual,B) Tamaño de fuente,C) Márgenes,D) Color del membrete,,A,,Correcta=100; Incorrecta=0,8.333333,MX/LATAM
Cuestionario,Derecho/Sector Legal,Conocimiento,C2,Práctica adecuada antes de presentar documento generado con IA,Multiple Choice (una respuesta),A) Confiar ciegamente,"B) Verificar cada cita/precedente (Shepardize/KeyCite o equivalentes), fact-checking y revisión por abogado responsable",C) Cambiar el formato,D) Aumentar temperatura,,B,,Correcta=100; Incorrecta=0,8.333333,MX/LATAM
Cuestionario,Derecho/Sector Legal,Conocimiento,C3,"Para proteger privilegio abogado-cliente y PII/PI, lo correcto es…",Multiple Choice (una respuesta),A) Subir expedientes a chatbots públicos,"B) Usar entornos aprobados/privados, minimizar/anonimizar y acuerdos de procesamiento de datos con proveedores",C) Enviar por mensajería personal,D) Compartir con terceros sin NDA,,B,,Correcta=100; Incorrecta=0,8.333333,MX/LATAM
Cuestionario,Derecho/Sector Legal,Conocimiento,C4,"Al usar Gen-AI en contratos o templates, ¿qué revisar?",Multiple Choice (una respuesta),A) Nada; todo es libre,"B) Términos de uso/licencias, derechos sobre outputs, restricciones de entrenamiento/uso comercial y confidencialidad",C) Solo tipografía,D) Color corporativo,,B,,Correcta=100; Incorrecta=0,8.333333,MX/LATAM
Cuestionario,Derecho/Sector Legal,Conocimiento,C5,"En casos de alto riesgo (laboral, crédito, salud, sector público)",Multiple Choice (una respuesta),A) Delegar a la IA,"B) Supervisión humana documentada, evaluación de impacto, explicabilidad y criterios de liberación",C) Omitir avisos,D) Publicar sin revisión,,B,,Correcta=100; Incorrecta=0,8.333333,MX/LATAM
Cuestionario,Derecho/Sector Legal,Conocimiento,C6,Elemento clave de gobernanza de Gen-AI en legal,Multiple Choice (una respuesta),A) No registrar prompts,"B) Registro de prompts/outputs, control de versiones, responsables y audit trail para revisiones",C) Solo métricas de likes,D) Desactivar logs,,B,,Correcta=100; Incorrecta=0,8.333333,MX/LATAM
